ID,Story,Question,Label
3793,"The object labeled R is positioned to the right of the object labeled W. C is at a 45 degree angle to W, in the upper righthand corner. A is placed at the lower left of V. I and J are parallel, and I is over J. I is diagonally right and below V. J is positioned up and to the right of R.",What is the relation of the agent W to the agent A?,below
3794,H is placed at the lower right of I. B is on the right side and below A. S presents lower right to V. I is sitting at the 3:00 position to F. F is to the upper left of S. H is positioned in the top left corner of B.,What is the relation of the agent F to the agent B?,upper-left
3795,U is placed in the right direction of N. The object R and C are there. The object C is above and slightly to the left of the object R. O is below V and to the left of V. V is there and C is at the 5 position of a clock face. T is at the 12 o'clock position relative to U. T is on top of R.,What is the relation of the agent N to the agent C?,below
3796,"V is diagonally to the bottom right of I. V is directly south west of K. I and X are vertical and I is below X. If C is the center of a clock face, S is located between 7 and 8. K is north east of D. C is to the upper left of D.",What is the relation of the agent I to the agent K?,left
3797,"C is positioned below S. L is to the right and above G at an angle of about 45 degrees. Object L is below object E and to the left of it, too. H is below B with a small gap between them. S is below H. E is on the left and B is on the right.",What is the relation of the agent G to the agent B?,lower-left
3798,R and O are side by side with R to the left and O to the right. R is to the top right of L. I is placed at the upper right of O. D and L are vertical and D is below L. H is sitting at the 9:00 position of B. I is to the top right of B.,What is the relation of the agent L to the agent R?,lower-left
3799,"A and P are parallel, and A is to the right of P. V is to the left of U and below U at approximately a 45 degree angle. A is placed at the upper right of N. T is directly south east of O. V and T are side by side with V to the left and T to the right. O is at a 45 degree angle to P, in the upper lefthand corner.",What is the relation of the agent U to the agent A?,upper-right
3800,T presents left to M. I is on the same vertical plane directly below M. Z is to the upper left of X. H is sitting at the upper right position to O. H is below I with a small gap between them. X is to the right and above O at an angle of about 45 degrees.,What is the relation of the agent X to the agent M?,lower-left
3801,"R presents left to I. M is on the same horizontal plane directly left to U. The objects U and K are over there. The object U is lower and slightly to the left of the object K. P is above I and to the right of I. M and R are parallel, and M on the right of R. P is diagonally above B to the left at a 45 degree angle.",What is the relation of the agent U to the agent R?,overlap
3802,"The objects V and A are over there. The object V is lower and slightly to the left of the object A. T is over there and A is on the right. P is positioned left to Z. W is sitting at the top position to T. U is at a 45 degree angle to Z, in the lower righthand corner. U and V are vertical and U is above V.",What is the relation of the agent Z to the agent V?,upper-left
3803,"I is below T and to the left of T. If C is the center of a clock face, J is located between 4 and 5. P is on the left and T is on the right. C is above G and to the left of G. K is placed on the top of J. G is sitting at the 6:00 position to I.",What is the relation of the agent I to the agent C?,right
3804,G is positioned above and to the left of Y. M and J are horizontal and M is to the left of J. Y is positioned in the front right corner of O. J and K are next to each other with J on the left and K on the right. G is to the left of M and below M at approximately a 45 degree angle. K is to the left of Q and is on the same horizontal plane.,What is the relation of the agent O to the agent Y?,lower-left
3805,"C is at a 45 degree angle to X, in the upper righthand corner. W and E are horizontal and W is to the right of E. A is to the right and above X at an angle of about 45 degrees. C is to the left of I and is on the same horizontal plane. The objects M and W are over there. The object M is above and slightly to the right of the object W. E is on the lower left of A.",What is the relation of the agent X to the agent A?,lower-right
3806,Q is positioned above K and to the left. O is below and to the right of P. A and D are next to each other with D on the right and A on the left. A is on the left and Q is on the right. O is on the right side to C. P is under D.,What is the relation of the agent P to the agent O?,upper-left
3807,Z is sitting in the left direction of H. Z is at K's 12 o'clock. H is at the lower side of U. N presents right to I. N is at P's 12 o'clock. I is to the right of K with a small gap between them.,What is the relation of the agent Z to the agent P?,upper-left
3808,S is at Y's 6 o'clock. The objects T and R are over there. The object T is lower and slightly to the left of the object R. P is slightly off center to the top left and B is slightly off center to the bottom right. C is diagonally left and above C. P is at the 3 o'clock position relative to T. R is on the right and C is on the left.,What is the relation of the agent T to the agent B?,upper-left
3809,"H is on the right side and top of V. Q is positioned up and to the right of M. F is north east of R. Q and F are both there with the object Q is to the left of object F. Object R is below object V and to the left of it, too. W and H are vertical and W is above H.",What is the relation of the agent Q to the agent H?,lower-left
3810,U is on the left side to Y. Z and L are next to each other with Z on the left and L on the right. D is below and to the left of L. W is diagonally below A to the right at a 45 degree angle. W is at the bottom and D is on the top. U is sitting in the right direction of A.,What is the relation of the agent U to the agent Y?,left
3811,H is positioned in the front right corner of T. Z is on the left side to N. T and O are horizontal and T is to the right of O. The object O is positioned above and to the right of the object R. J is positioned above H and to the right. N presents upper right to R.,What is the relation of the agent H to the agent O?,above
3812,P is on the right side to W. Z is on the left side of and below L. P is sitting at the 9:00 position of L. W is on the left side and above D. N is diagonally right and above T. Z is directly south east of T.,What is the relation of the agent T to the agent D?,upper-left
3813,A is positioned right to Y. R is at X’s 9 o'clock. Z presents right to U. U is sitting at the lower left position to X. A is below R at 4 o'clock. Z is at H's 3 o'clock.,What is the relation of the agent Y to the agent A?,left
3814,"V and Z are parallel, and Z is below V. B is south east of U. T is there and B is at the 2 position of a clock face. T is on the same vertical plane directly above Z. P presents upper right to L. U is there and P is at the 2 position of a clock face.",What is the relation of the agent T to the agent L?,below
3815,"Object B is above object H and to the left of it, too. Y is to the left of H and is on the same horizontal plane. P is positioned above U and to the left. B is to the top right of Q. X is to the top of P vertically. Q is directly south west of U.",What is the relation of the agent H to the agent X?,lower-right
3816,"H is sitting at the lower position to M. A and T are parallel, and A on the right of T. A is on top of V. H is on the same vertical plane directly below L. T and L are vertical and T is above L. M is sitting at the 3:00 position to Y.",What is the relation of the agent V to the agent L?,left
3817,M is to the left of D horizontally. The object M is lower and slightly to the right of the object H. I is sitting at the lower right position to D. B and V are in a horizontal line with V on the right. I is placed at the lower left of B. H is over there and Z is on the right.,What is the relation of the agent H to the agent I?,upper-left
3818,"T is above and to the right of N. B is positioned above A and to the left. G is on the right side and below T. S is above A at 10 o'clock. Object B is above object P and to the left of it, too. S and G are in a horizontal line with S on the left.",What is the relation of the agent G to the agent T?,lower-right
3819,"Y is over there and T is on the left of it. T and C are parallel, and T is on top of C. X is above B with a small gap between them. N is over there and P is directly above it. N is positioned below Y and to the left. B and P are in a horizontal line with B on the left.",What is the relation of the agent P to the agent Y?,upper-right
3820,"I and Y are both there with the object Y below the object I. If R is the center of a clock face, A is located between 7 and 8. I and A are next to each other with A at the bottom I on the top. V is to the right of D horizontally. C is slightly off center to the top left and R is slightly off center to the bottom right. Y is positioned above D.",What is the relation of the agent V to the agent D?,right
3821,"M is below P at 4 o'clock. S is to the top-right of V. S is diagonally below F to the left at a 45 degree angle. R presents left to L. If V is the center of a clock face, M is located between 2 and 3. P and R are vertical and P is below R.",What is the relation of the agent V to the agent F?,lower-left
3822,T is below M at 4 o'clock. L is diagonally above M to the left at a 45 degree angle. N is south east of T. N is positioned below R. A and Z are both there with the object A is to the left of object Z. R is placed in the right direction of Z.,What is the relation of the agent Z to the agent T?,overlap
3823,"O is directly south east of T. T is to the right of F. I is over there and O is on the right of it. Object I is below object M and to the right of it, too. W is directly below H. H is over there and M is on the left.",What is the relation of the agent F to the agent H?,left
3824,"I is south west of V. S and B are parallel, and B is below S. The object R is lower and slightly to the right of the object V. B is there and N is at the 2 position of a clock face. N is on the same vertical plane directly above I. A is positioned in the top left corner of S.",What is the relation of the agent S to the agent N?,left
3825,"L is at the bottom of Q vertically. A and E are parallel, and A is on top of E. L is over there and K is on the top of it. If V is the center of a clock face, K is located between 7 and 8. V presents over W. W is above and to the right of A.",What is the relation of the agent A to the agent Q?,below
3826,"If R is the center of a clock face, N is located between 2 and 3. Z is upper left of J. The object X is positioned below and to the right of the object N. S presents lower right to O. O is on the lower left of X. J and R are parallel, and J on the right of R.",What is the relation of the agent J to the agent Z?,lower-right
3827,D and P are side by side with D on the top and P at the bottom. The object labeled H is positioned to the left of the object labeled Z. H is at the lower side of N. M is sitting at the lower left position to Z. D and C are in a horizontal line with D on the left. P is above N and to the right of N.,What is the relation of the agent Z to the agent N?,lower-right
3828,"Q is positioned down and to the left of B. Object C is above object Z and to the right of it, too. The object E is positioned below and to the left of the object W. C is over there with E above. W presents left to F. B is on the left side to F.",What is the relation of the agent W to the agent F?,left
3829,"The object N and Q are there. The object N is below and slightly to the right of the object Q. M is on the right side to N. F is over there with X below. X presents lower left to V. V is above G with a small gap between them. If F is the center of a clock face, M is located between 4 and 5.",What is the relation of the agent Q to the agent F?,left
3830,"D is to the right of L with a small gap between them. X and Z are parallel, and X is over Z. X is over there with S below. D is diagonally to the upper left of Z. G is diagonally to the upper left of Y. Y is to the right of L and is on the same horizontal plane.",What is the relation of the agent Z to the agent L?,lower-right
3831,"Z and H are parallel, and Z is under H. W is over there and M is directly below it. W and G are side by side with W on the top and G at the bottom. H is at the bottom and L is on the top. S is at the bottom of G. M and L are in a vertical line with L below M.",What is the relation of the agent Z to the agent L?,below
3832,T is positioned below Z. P is on the same vertical plane directly above A. T is there and P is at the 10 position of a clock face. K presents lower left to I. Z is sitting at the lower right position to W. K and A are in a horizontal line with A on the right.,What is the relation of the agent I to the agent P?,overlap
3833,"P is placed at the upper right of B. U is sitting in the right direction of B. Q is on the same vertical plane directly below G. E and M are side by side with E on the top and M at the bottom. U and G are parallel, and U on the right of G. Q is over there and M is at the bottom of it.",What is the relation of the agent M to the agent B?,lower-right
3834,"K is diagonally above I to the right at a 45 degree. W and H are parallel, and W is on top of H. V is above N and to the right of N. F is at N's 12 o'clock. W is diagonally above V to the right at a 45 degree. K is on the right side and top of F.",What is the relation of the agent H to the agent K?,lower-right
3835,Q is positioned up and to the right of N. N is on the right side and below D. H is at R's 6 o'clock. Q is over there and G is directly below it. K is there and D is at the 10 position of a clock face. G and H are in a vertical line with H below G.,What is the relation of the agent R to the agent K?,right
3836,A is there and O is at the 10 position of a clock face. R is placed at the lower right of X. R is at the lower side of V. The object P is positioned above and to the left of object T. T is on the same horizontal plane directly left to X. P presents below A.,What is the relation of the agent O to the agent V?,upper-left
3837,H presents left to R. D is diagonally to the bottom left of O. M is over D. F is south east of P. The object F is positioned above and to the left of object H. R is positioned below M.,What is the relation of the agent D to the agent F?,lower-right
3838,F is at the 9 o'clock position relative to C. C is sitting at the 3:00 position to A. M and S are in a vertical line with M on top. B presents right to A. F is south east of M. The object Q is upper and slightly to the left of the object B.,What is the relation of the agent S to the agent M?,below
3839,K is sitting at the 6:00 position to U. U is on the left side and above B. K is positioned right to Q. E is at the 3 o'clock position relative to X. Q is over there and Z is on the right. X is diagonally left and above X.,What is the relation of the agent X to the agent E?,left
3840,"Object R is above object I and to the right of it, too. H is sitting at the upper left position to F. W is above I and to the right of I. F is positioned below W. E is to the right of H with a small gap between them. S is on the upper right of R.",What is the relation of the agent R to the agent E?,overlap
3841,"U is at the 6 o'clock position relative to W. Object K is below object W and to the left of it, too. O is at the 12 o'clock position relative to T. F is slightly off center to the top left and O is slightly off center to the bottom right. F is to the bottom right of Z. K is sitting at the 6:00 position to T.",What is the relation of the agent K to the agent T?,below
3842,"O is at M’s 9 o'clock. S and N are side by side with N at the bottom and S on the top. If Y is the center of a clock face, S is located between 10 and 11. D presents right to K. D is on the upper right of O. K and N are in a vertical line with N below K.",What is the relation of the agent D to the agent O?,upper-right
3843,"O is to the top-right of Q. T is to the bottom right of O. T is to the right of M with a small gap between them. G is sitting at the 9:00 position of M. G is at a 45 degree angle to X, in the lower lefthand corner. V and X are next to each other with V on the left and X on the right.",What is the relation of the agent T to the agent X?,lower-right
3844,"J and A are in a horizontal line with A on the right. Object W is above object C and to the left of it, too. D is over there and C is on the right. L is to the top-right of D. L is above H at 10 o'clock. The object labeled H is positioned to the left of the object labeled J.",What is the relation of the agent W to the agent D?,above
3845,"F is below W with a small gap between them. G and W are next to each other with G on the top and W at the bottom. N and F are both there with the object N is to the right of object F. R is there and E is at the 10 position of a clock face. Object E is below object I and to the left of it, too. I is above N and to the right of N.",What is the relation of the agent E to the agent F?,left
3846,I is to the top of B vertically. K is positioned below I and to the left. Q is positioned below V and to the left. J is north west of A. A and B are in a vertical line with B below A. Q is on the lower left of J.,What is the relation of the agent A to the agent J?,lower-right
3847,"D is over there and R is directly above it. T is on the top and Q is at the bottom. The object D is positioned directly above the object Q. K is below E and to the left of E. T is at a 45 degree angle to G, in the lower lefthand corner. K is diagonally below R to the left at a 45 degree angle.",What is the relation of the agent D to the agent T?,overlap
3848,"Q is at the 3 o'clock position relative to B. C is sitting at the lower left position to A. S is upper left of A. V is sitting at the 9:00 position of C. If V is the center of a clock face, B is located between 2 and 3. S and N are parallel, and S is to the right of N.",What is the relation of the agent Q to the agent N?,below
3849,"U is on the lower left of S. L is at a 45 degree angle to B, in the upper righthand corner. L and R are parallel, and R is below L. A and S are both there with the object A is to the right of object S. B is diagonally left and above B. The objects C and R are over there. The object C is above and slightly to the right of the object R.",What is the relation of the agent A to the agent S?,left
3850,T is placed at the upper left of U. A and Y are next to each other with A on the top and Y at the bottom. H is sitting at the 3:00 position to T. A is on the left side and above K. C is diagonally below Y to the left at a 45 degree angle. The object U is positioned above and to the right of the object K.,What is the relation of the agent T to the agent H?,left
3851,"Q is above E and to the left of E. K is on the lower right of Q. C is to the upper left of H. The object labeled Z is positioned to the left of the object labeled X. Object E is above object X and to the right of it, too. Z is to the upper left of H.",What is the relation of the agent C to the agent X?,left
3852,B is to the right of U with a small gap between them. R is over there and Q is on the right of it. Z is upper left of M. U is positioned below Z and to the right. M is directly north east of W. Q presents upper right to W.,What is the relation of the agent U to the agent Z?,lower-right
3853,E is sitting at the 3:00 position to C. F is north east of H. H is diagonally left and below E. K is at the 9 o'clock position relative to W. X is sitting at the 3:00 position to W. X is to the right of F horizontally.,What is the relation of the agent F to the agent C?,right
3854,F is at the 6 o'clock position relative to N. H is diagonally left and below S. H is diagonally left and above H. A and N are next to each other with N on the right and A on the left. Z is above and to the right of L. A is to the top right of S.,What is the relation of the agent L to the agent A?,lower-left
3855,"A is at E's 12 o'clock. V is directly above K. A is on the left side to N. G is below E with a small gap between them. K is lower right of C. N is at a 45 degree angle to C, in the lower lefthand corner.",What is the relation of the agent A to the agent C?,lower-left
3856,Y is sitting at the 3:00 position to T. T is below G and to the right of G. G presents lower left to D. I is to the bottom-left of P. I is sitting at the 12:00 position to Y. P is positioned above W and to the right.,What is the relation of the agent T to the agent Y?,left
3857,"N is upper right to U. Q is to the right and above B at an angle of about 45 degrees. L is directly north west of S. E is placed at the upper left of N. E is over there with L above. If B is the center of a clock face, S is located between 4 and 5.",What is the relation of the agent E to the agent L?,below
3858,C is to the right of S with a small gap between them. S is on the left and M is on the right. X is at the 9 o'clock position relative to C. The object N and V are there. The object N is below and slightly to the right of the object V. V is south west of R. M is above R.,What is the relation of the agent S to the agent M?,left
3859,R is there and P is at the 10 position of a clock face. G presents right to A. R is slightly off center to the top left and V is slightly off center to the bottom right. The object S is upper and slightly to the right of the object P. M and G are side by side with G at the bottom and M on the top. The object V and A are there. The object A is above and slightly to the left of the object V.,What is the relation of the agent R to the agent V?,upper-left
3860,"N and Z are side by side with N on the top and Z at the bottom. O and H are both there with the object O is to the right of object H. O is below R and to the right of R. If H is the center of a clock face, G is located between 10 and 11. R is at the 3 o'clock position relative to Z. N is on the same horizontal plane directly right to W.",What is the relation of the agent R to the agent G?,left
3861,"W is diagonally to the upper right of S. S is placed at the lower left of L. I and B are side by side with I to the right and B to the left. K is sitting in the left direction of E. W is to the left of I horizontally. Object E is below object L and to the right of it, too.",What is the relation of the agent S to the agent W?,lower-left
3862,T is to the right and above B at an angle of about 45 degrees. M is above E and to the left of E. A and M are both there with the object M below the object A. E is positioned below B and to the right. A is placed on the top of P. T is diagonally right and below H.,What is the relation of the agent A to the agent T?,right
3863,H is positioned in the lower left corner of N. Z is lower right of W. L is below and to the left of Z. N is to the left of W. L is over there and G is directly below it. R and G are in a horizontal line with R on the left.,What is the relation of the agent R to the agent H?,lower-right
3864,Y is on the right side to G. O is sitting at the 3:00 position to H. W is on the left side and above D. G and O are next to each other with G on the top and O at the bottom. W and J are both there with the object J below the object W. H is on top of J.,What is the relation of the agent J to the agent W?,below
3865,"T is at the bottom of B and is on the same vertical plane. K presents lower right to U. F is on the upper right of V. T is at a 45 degree angle to V, in the upper lefthand corner. P is on the same vertical plane directly above B. U is at a 45 degree angle to P, in the lower lefthand corner.",What is the relation of the agent U to the agent K?,upper-left
3866,Z is at the bottom and A is on the top. M and A are both there with the object M is to the left of object A. M is placed in the left direction of G. E is above Q and to the right of Q. E is at the bottom of G. U presents left to Q.,What is the relation of the agent U to the agent G?,lower-left
3867,O is diagonally to the upper left of P. C is diagonally right and below W. P and E are horizontal and P is to the right of E. C is above R with a small gap between them. V is positioned below and to the right of E. W is to the right and above O at an angle of about 45 degrees.,What is the relation of the agent V to the agent C?,right
3868,"Y is to the left of K with a small gap between them. Q is placed at the upper left of K. Object Q is above object J and to the left of it, too. E and J are in a horizontal line with E on the left. E is to the top-left of W. L is at Y's 3 o'clock.",What is the relation of the agent K to the agent E?,right
3869,O is directly above M. R is at the 3 o'clock position relative to O. Q is there and M is at the 5 position of a clock face. C is above B at 10 o'clock. N is on the upper right of Q. R is to the left of B and is on the same horizontal plane.,What is the relation of the agent Q to the agent O?,left
3870,Q is there and K is at the 5 position of a clock face. N is below A. A is positioned up and to the right of V. The object labeled Q is positioned to the left of the object labeled N. Z is on the right and T is on the left. V presents left to Z.,What is the relation of the agent T to the agent Z?,left
3871,The objects J and B are over there. The object J is lower and slightly to the left of the object B. E is positioned in the front right corner of U. E is to the bottom left of N. A and N are both there with the object N below the object A. B is positioned above and to the left of C. J is at the 12 o'clock position relative to A.,What is the relation of the agent E to the agent J?,lower-left
3872,"V is at a 45 degree angle to M, in the upper righthand corner. L is on the lower left of K. M is diagonally below J to the right at a 45 degree angle. H and J are parallel, and J is below H. B and V are in a horizontal line with V on the right. H is over there and L is on the right.",What is the relation of the agent B to the agent L?,below
3873,V is placed at the upper left of B. A is sitting at the 12:00 position to V. A is on the same horizontal plane directly right to R. G is diagonally left and above G. P is to the right and above R at an angle of about 45 degrees. G is to the right of P and is on the same horizontal plane.,What is the relation of the agent G to the agent S?,upper-left
3874,"T is there and B is at the 5 position of a clock face. T is to the left of I and is on the same horizontal plane. B is over there and A is on the top of it. U is diagonally below A to the left at a 45 degree angle. O and E are parallel, and O is to the right of E. I is positioned above O and to the right.",What is the relation of the agent A to the agent U?,upper-right
3875,R is to the right of B horizontally. G is directly north east of F. H is positioned left to M. H is at the bottom of P. M is at the lower side of F. G and R are side by side with G to the right and R to the left.,What is the relation of the agent R to the agent P?,upper-right
3876,I is positioned right to R. M presents lower left to A. Y is upper right to R. U is sitting at the lower position to A. S is there and Y is at the 2 position of a clock face. I is diagonally to the bottom left of M.,What is the relation of the agent I to the agent R?,right
3877,"N is over there and C is directly below it. N is positioned down and to the left of V. X is on top of P. Object X is below object C and to the left of it, too. T is positioned in the front right corner of P. T is placed on the top of J.",What is the relation of the agent X to the agent J?,upper-left
3878,"H and D are parallel, and H on the left of D. T is to the top-left of B. D is diagonally to the bottom right of U. V is above U at 2 o'clock. I and T are next to each other with I on the top and T at the bottom. H is positioned above B and to the right.",What is the relation of the agent T to the agent U?,lower-left
3879,W is placed at the upper left of A. I is to the left of K and is on the same horizontal plane. X and L are both there with the object X is to the left of object L. A is to the left of I and below I at approximately a 45 degree angle. The object P is upper and slightly to the right of the object X. P presents over W.,What is the relation of the agent L to the agent A?,upper-left
3880,"K is at the lower side of O. K is diagonally right and above E. Y is positioned above and to the left of D. The object D is lower and slightly to the left of the object C. B presents upper left to C. Y and O are parallel, and Y is to the left of O.",What is the relation of the agent C to the agent B?,lower-right
3881,"W is positioned below D and to the right. W is below and to the right of J. N is on top of J. If N is the center of a clock face, B is located between 7 and 8. Z is positioned below and to the right of O. O is to the right of B horizontally.",What is the relation of the agent J to the agent O?,overlap
3882,"F is positioned in the top left corner of R. A is above F at 10 o'clock. V is at a 45 degree angle to C, in the lower lefthand corner. C is below R and to the left of R. V is at a 45 degree angle to M, in the lower lefthand corner. A is at the bottom of Q.",What is the relation of the agent M to the agent V?,upper-right
3883,The object Q is lower and slightly to the right of the object D. R is on the left side to X. The object X and U are there. The object U is above and slightly to the left of the object X. Q is to the upper left of F. F is on the left side of and below T. D and U are in a vertical line with U below D.,What is the relation of the agent R to the agent X?,left
3884,B is diagonally below M to the left at a 45 degree angle. B is positioned in the front right corner of D. E is below L at 7 o'clock. V and D are both there with the object V above the object D. The object E is upper and slightly to the right of the object N. V is to the upper left of L.,What is the relation of the agent V to the agent D?,above
3885,"I is below K and to the left of K. I is placed at the upper right of T. U and K are parallel, and U is over K. S is positioned down and to the left of A. T is at A’s 9 o'clock. L and U are vertical and L is below U.",What is the relation of the agent A to the agent T?,right
3886,"P is to the right of T horizontally. N is below and to the right of T. G is to the top right of N. Object F is below object P and to the left of it, too. G and Z are parallel, and G on the left of Z. O is at the bottom of Z.",What is the relation of the agent O to the agent P?,lower-right
3887,"W is at N’s 9 o'clock. N is on the same horizontal plane directly left to S. The object J is positioned below and to the left of the object S. G is at a 45 degree angle to W, in the upper lefthand corner. L and X are parallel, and L on the right of X. The object L is positioned below and to the left of the object G.",What is the relation of the agent S to the agent N?,right
3888,"C is positioned down and to the left of D. A is upper left of W. The objects R and U are over there. The object R is lower and slightly to the left of the object U. A is over there and U is directly above it. O and R are parallel, and O on the left of R. O is above C and to the left of C.",What is the relation of the agent O to the agent C?,upper-left
3889,"H is diagonally to the bottom left of Q. K and S are parallel, and K on the right of S. N and Q are both there with the object N is to the right of object Q. H presents over S. C is positioned below O and to the left. N is positioned right to O.",What is the relation of the agent H to the agent S?,above
3890,F is over there and B is directly above it. The object labeled B is positioned to the left of the object labeled M. The object U and H are there. The object U is below and slightly to the right of the object H. M is to the left of R and below R at approximately a 45 degree angle. F is over there and U is on the right of it. K is below and to the right of R.,What is the relation of the agent K to the agent F?,upper-right
3891,"Z is at S's 6 o'clock. H is placed at the upper right of C. U is at a 45 degree angle to C, in the upper righthand corner. V is on the lower left of R. V is upper left of Z. S and U are vertical and S is below U.",What is the relation of the agent S to the agent U?,below
3892,"T is below W. U is above T. W is to the left of Q horizontally. Q is on the right side to L. L and F are parallel, and L is on top of F. B is there and U is at the 10 position of a clock face.",What is the relation of the agent L to the agent Q?,left
3893,F is to the right and above L at an angle of about 45 degrees. D and C are in a horizontal line with C on the right. F and J are horizontal and F is to the left of J. L is placed in the right direction of K. K is diagonally to the upper left of N. N is positioned below C and to the right.,What is the relation of the agent F to the agent N?,upper-right
3894,"F is positioned in the lower left corner of G. D is at a 45 degree angle to G, in the upper righthand corner. C presents upper right to D. I presents left to F. Object Z is below object C and to the left of it, too. Z is on the same horizontal plane directly right to H.",What is the relation of the agent G to the agent Z?,lower-left
3895,X is over there and O is on the right of it. D is sitting at the upper left position to X. A is to the bottom right of F. F is placed in the right direction of Q. O and B are side by side with O to the right and B to the left. B and Q are side by side with B to the left and Q to the right.,What is the relation of the agent Q to the agent D?,lower-right
3896,"T is diagonally right and below K. P is at a 45 degree angle to W, in the lower righthand corner. M is slightly off center to the top left and W is slightly off center to the bottom right. K is directly above Q. Q is below M and to the left of M. F is at the bottom of P vertically.",What is the relation of the agent P to the agent M?,lower-right
3897,Y is on the left side of and below N. O is below and to the right of K. Q is on the same horizontal plane directly right to T. Q is sitting at the upper left position to N. T is at U’s 9 o'clock. U and K are vertical and U is above K.,What is the relation of the agent K to the agent Q?,below
3898,"L and Z are side by side with L on the top and Z at the bottom. Q and G are vertical and Q is below G. Object Q is below object R and to the right of it, too. A is positioned above U and to the right. G is diagonally left and below L. Z is at U’s 9 o'clock.",What is the relation of the agent U to the agent A?,lower-left
3899,"S is below and to the right of C. J is placed at the upper left of C. The object labeled O is positioned to the left of the object labeled G. O is over S. Object Z is above object G and to the right of it, too. J is positioned below and to the right of L.",What is the relation of the agent C to the agent G?,left
3900,A is sitting at the lower left position to U. L is on the lower left of P. W is at J's 12 o'clock. The object P is positioned below and to the left of the object A. J is to the top of L vertically. W is on the top and E is at the bottom.,What is the relation of the agent P to the agent A?,lower-left
3901,K is placed at the lower left of T. O is at G's 6 o'clock. O is over there and U is at the bottom of it. K is at the bottom of A. B is to the left of U horizontally. A is on the upper right of B.,What is the relation of the agent O to the agent B?,upper-right
3902,"X is on the right and N is on the left. K is on the left side of and below Q. L and J are parallel, and L is to the right of J. X is diagonally right and below K. N is there and L is at the 10 position of a clock face. J and I are horizontal and J is to the left of I.",What is the relation of the agent K to the agent J?,overlap
3903,U is to the left of R horizontally. R presents lower right to K. K is on the same vertical plane directly above C. S is over there and I is on the left of it. A is on the upper right of I. S is to the bottom left of U.,What is the relation of the agent C to the agent R?,left
3904,N is below and to the right of D. X and W are in a horizontal line with W on the right. H is to the bottom-right of C. C is below D with a small gap between them. K is sitting at the 3:00 position to W. N is sitting in the right direction of X.,What is the relation of the agent N to the agent X?,right
3905,"A is sitting in the left direction of F. O is at the 12 o'clock position relative to D. A is at a 45 degree angle to J, in the upper righthand corner. O is positioned down and to the left of Z. W is to the left of Z and is on the same horizontal plane. D is south west of J.",What is the relation of the agent O to the agent F?,lower-left
3906,O is to the right of W horizontally. V is to the bottom-right of H. V is positioned in the lower left corner of L. H is positioned above N and to the left. N and W are next to each other with W on the right and N on the left. L is positioned below and to the right of C.,What is the relation of the agent L to the agent W?,above
3907,B is diagonally left and above B. B is slightly off center to the top left and Q is slightly off center to the bottom right. The object G is positioned above and to the right of the object L. The object T is positioned directly below the object L. U presents upper left to Q. I is placed in the left direction of G.,What is the relation of the agent L to the agent T?,above
3908,"Object U is above object I and to the right of it, too. V is to the left of Y and is on the same horizontal plane. The object labeled I is positioned to the left of the object labeled Q. Q and A are next to each other with Q on the left and A on the right. A and C are horizontal and A is to the right of C. Y is at a 45 degree angle to C, in the lower righthand corner.",What is the relation of the agent U to the agent I?,upper-right
3909,"If Z is the center of a clock face, T is located between 7 and 8. K is slightly off center to the top left and P is slightly off center to the bottom right. A and D are side by side with A to the right and D to the left. L is at the lower side of K. D and L are parallel, and D is to the left of L. Z presents right to P.",What is the relation of the agent A to the agent Z?,left
3910,"G is to the left of C. The object labeled R is positioned to the right of the object labeled Y. H is to the right of V and is on the same horizontal plane. G is below R. H and C are both there with the object H is to the right of object C. A and Y are parallel, and A is under Y.",What is the relation of the agent G to the agent Y?,lower-right
3911,F is to the right of Y with a small gap between them. N and F are both there with the object N above the object F. H is at the 12 o'clock position relative to Y. W is to the bottom-left of T. N is to the right of T. H is diagonally above E to the right at a 45 degree.,What is the relation of the agent T to the agent F?,upper-left
3912,"Q is at a 45 degree angle to N, in the lower lefthand corner. If B is the center of a clock face, R is located between 7 and 8. B is positioned above V and to the left. The objects R and S are over there. The object R is above and slightly to the right of the object S. L is sitting at the 9:00 position of Q. S is on the right side to L.",What is the relation of the agent V to the agent B?,lower-right
3913,"I is positioned below T and to the right. N and I are side by side with N to the left and I to the right. T is positioned in the front right corner of H. The object O is positioned below and to the left of the object D. Z is at a 45 degree angle to O, in the lower lefthand corner. The object N is positioned directly above the object D.",What is the relation of the agent I to the agent O?,upper-right
3914,A and Q are horizontal and A is to the left of Q. Z is to the upper left of C. A is positioned in the front right corner of G. M is diagonally to the upper left of Z. C is sitting at the 9:00 position of Q. M is directly north west of O.,What is the relation of the agent G to the agent M?,lower-right
3915,F is to the top-right of X. Y is positioned below P and to the right. C is placed at the lower left of X. Y and O are in a vertical line with O below Y. The object F is positioned directly above the object K. P is south east of C.,What is the relation of the agent X to the agent Y?,upper-left
3916,"H and L are parallel, and H is to the right of L. V presents left to F. K is at the 9 o'clock position relative to E. The object N is lower and slightly to the right of the object H. V is placed in the right direction of E. N is at the bottom of K vertically.",What is the relation of the agent F to the agent N?,upper-right
3917,"Y is lower right of T. Y and M are parallel, and Y is under M. K is below M at 4 o'clock. H is slightly off center to the top left and Z is slightly off center to the bottom right. K is positioned below F. Z is to the left of T with a small gap between them.",What is the relation of the agent Y to the agent K?,left
