Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type,llama8B_Base,lamma8B_CoT,llama8B_Visual
"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",What is the relation between the large yellow thing and the other yellow object?,FR,"left, right, above, below, near to, far from, touching, DK","right, near to","['Converse', ' Symmetry']",near to,near to,near to
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",What object is to the right of the large black square the medium blue triangle  or  the small black triangle?,CO," the medium blue triangle ,  the small black triangle, both of them, none of them", the medium blue triangle ,['Lists/Sets'],The medium blue triangle.,The medium blue triangle.,the medium blue triangle
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black triangle. In B, there is a small blue circle that is far below a medium yellow square. In C, there is a small yellow square near and above a small black triangle. The black triangle is near and to the right of a large black square. There is a medium blue triangle below the large black square.",What object is above the medium blue thing? the small blue circle  or  the large black square?,CO," the small blue circle ,  the large black square, both of them, none of them", the large black square,['Converse'],the large black square,the large black square,the large black square
There are two blocks A and B. Block A has two medium yellow circle and a medium yellow triangle. The medium circle number one is to the right of the yellow triangle which is to the right of the medium circle number two. This block also has a medium black triangle touching the bottom edge of it. Block B is to the right of the block A. It has two medium yellow circle and a medium black triangle. It also has a big blue square above the medium yellow circle number one. The medium triangle is to the left of the medium circle number one and to the right of the medium circle number two. The big square is to the right of the triangle.,Is there any circle in block B to the right of the square?,YN,"Yes, No, DK",DK,,No,No,No
"There are three blocks called A, B, and C. A is to the left of B Which is to the left of C. In A, there is a large black triangle near and above a large black square. To the right of the black triangle is a large blue triangle. In B, there is a medium yellow square near and below a small blue circle. In C, there is a small blue square far above a small yellow square. There is a small blue circle to the right of the small yellow square. There is a medium yellow circle near and to the right of the small blue circle. There is also a medium blue circle below the medium yellow circle.",What object is to the right of the medium yellow thing in B? the medium yellow circle or   the large blue triangle ?,CO," the medium yellow circle,   the large blue triangle , both of them, none of them", the medium yellow circle,"['Lists/Sets', ' Converse']",the medium yellow circle,the medium yellow circle,the medium yellow circle
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,What is the relation between the red square and the blue thing Which is below the yellow square?,FR,"left, right, above, below, near to, far from, touching, DK",above,"['Lists/Sets', ' Converse']",Below,Below,Below
"There are three blocks A, B, and C. Block A is below blocks B and C. It has three circles. The fist circle is big and yellow which is touching the bottom edge of this block. Another is medium and blue which is to the right of the big yellow circle and below and to the right of the medium yellow circle. Block B has a medium yellow circle and a medium black square which are touhing the right edge of this block. there is amedium blue circle to the left of the yellow and black objects in this block. Block C is to the right of the block B. It has a big yellow square that is touching the right edge of the block. It is above a big blue triangle. To the right of the big blue triangle there is a small black circle.",What is the relation between the small circle and the big square?,FR,"left, right, above, below, near to, far from, touching, DK",left,,right,right,right
"There are three blocks called A, B, and C. A is to the left of B, and B is to the left of C. In A, there is a large blue triangle to the left of and below a large black square. Far above the square is a large black circle. In B, there is a large blue circle near and below a small blue circle. The small blue circle is near and below a large yellow square. There is a medium blue square far to the left of the yellow square. In C, there is a large blue square.",Is the large black square far below the other large black thing?,YN,"Yes, No, DK",Yes,"['Symmetry', ' Converse']",No,No,Yes
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a medium blue circle Which is near and above a small blue circle. In B, there is a large yellow triangle Which is to the right and touching a large blue triangle. There is also a small yellow triangle to the left of the large blue triangle. In C, there is a small blue circle that is far above a blue triangle. The blue triangle is to the left of a black triangle.",What object is to the right of the small yellow thing? the large yellow triangle  or  the medium blue circle?,CO," the large yellow triangle ,  the medium blue circle, both of them, none of them", the large yellow triangle ,"['Transitivity', ' Converse']",the large yellow triangle,the large yellow triangle,the large yellow triangle
"There are three blocks called A, B, and C. A, is to the left of B and B is to the left of C. In A, there is a small yellow square far to the left of a medium yellow triangle. There is a large blue square far above the medium yellow triangle. There is a small blue triangle near and above the large blue square. In B, there is a small yellow triangle near and to the left of a medium yellow triangle. Far below the medium yellow triangle is a medium black circle. In C, there is a medium yellow circle near and above a large yellow square. The yellow square is far above a large black circle. There is a small blue triangle near and to the right of the large yellow square.",Is the large black thing below a medium yellow thing?,YN,"Yes, No, DK",Yes,"['Transitivity', ' Converse']",Yes,No,Yes
"There is a block called A. In A, there are four circles that are touching the bottom of A. The red circle is touching and to the left of the yellow circle. The pink circle is touching and to the right of the green circle. The yellow circle is touching and to the left of the green circle. Touching the bottom of A is a block called B. In B, there is a blue rectangle touching the top and the left of B. Near and to the right of the blue rectangle is a purple rectangle that is also touching the top of B. At the bottom of B there is a white triangle. Far to the left of B there is a block called C. In C, there is a brown oval that is to the right of an  orange square.",Is the white thing above the green thing,YN,"Yes, No, DK",No,['Lists/sets'],No,No,No
"There are three blocks A, B, and C. Block A is below blocks B and C. It has three circles. The fist circle is big and yellow which is touching the bottom edge of this block. Another is medium and blue which is to the right of the big yellow circle and below and to the right of the medium yellow circle. Block B has a medium yellow circle and a medium black square which are touhing the right edge of this block. there is amedium blue circle to the left of the yellow and black objects in this block. Block C is to the right of the block B. It has a big yellow square that is touching the right edge of the block. It is above a big blue triangle. To the right of the big blue triangle there is a small black circle.",What is the relation between the big yellow circle and the yellow circle above a blue circle?,FR,"left, right, above, below, near to, far from, touching, DK",below,,Below,Above.,touching
"There is a block called A. In A, there is a large blue square near and below a medium blue triangle. Far to the left of the medium blue triangle is a small yellow square. Far above the medium blue triangle is a small blue triangle. There is another block called B, which is to the right of A. In B, There is a small yellow circle touching the left edge of B. Far to the right of the circle is a large yellow square. Near and above the large square is a small yellow square. There is another block called C, which is to the right of B. In C, there is a small blue circle near and to the left of a large yellow triangle. The large yellow triangle is near and to the left of a large blue triangle. The large blue triangle is far above a large blue circle. The large blue circle is touching the bottom edge of C.",Are the large blue things in C to the left of the large blue thing in A?,YN,"Yes, No, DK",No,"['Lists/Sets', ' Transitivity']",No,No,Yes
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",What block is to the left of B,FB,"A, B, C",A,['Converse'],A,A,A
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium blue triangle far to the right of a medium yellow square. The medium yellow square far below a large blue triangle. In B, there is a medium blue triangle near and to the right of a large blue square. The large blue square is near and to the right of a small yellow circle. Near and below the small yellow circle is a large black circle. Near and below the large black circle is a large yellow triangle. In C, there is a large blue square near and to the right of a large blue triangle?",What is the relation between the large yellow thing and the medium yellow thing?,FR,"left, right, above, below, near to, far from, touching, DK","right, far from","['Lists/Sets', ' Converse']",Below,Below,Below
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",What block does not have any squares inside of it?,FB,"A, B, C",B,"['Negation', ' Quantifier']",B,B,B
"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",What is the relation between all medium blue triangles and all big black circles?,FR,"left, right, above, below, near to, far from, touching, DK",below,,Below,below,Not touching.
"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",What block does not have a blue object inside of it?,FB,"A, B, C",C,['Negation'],C,B,B
"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",Where is the big square regarding all medium squares?,FR,"left, right, above, below, near to, far from, touching, DK",above,,Above,Above,Above
"There are three blocks called A, B, and C. In block A, there is a small blue square far above a small blue circle. There is a small black triangle far to the right of both small blue objects. The black triange is near and above a medium blue square. The medium blue square is touching the right edge of A and is near and above a medium black circle. Near and to the right of the medium black circle is a medium yellow triangle. The yellow triangle is to the left of the small blue circle. In B, which is to the right of A, there is a large blue square near and to the left of a large yellow triangle. There is also a small yellow triangle far below the square. In C, which is to the right of B. there is a small yellow circle near and above a small yellow triangle. The small yellow triangle is touching the top of a medium black triangle. The black triangle is touching the right edge of C. There is a large blue circle far below the black triangle.",Are all yellow objects in C above a blue thing?,YN,"Yes, No, DK",Yes,"['Transitivity', ' Quantifier']",Yes,Yes,Yes
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small black circle near and above a small yellow triangle. The small yellow triangle is far above the large blue circle. There is a large black square near and to the right of the large blue circle. In B, there is a small blue square near and above a small black circle. The small black circle near and above a large yellow circle. The large yellow circle is far above a large black circle. In C, there is a large blue circle near and to the left of a small blue triangle. The small blue triangle is far to the left small yellow triangle. The small yellow triangle is near and to the left of a small black square.","What object is near and below the small black thing in B, the small blue square or the large yellow circle? the small blue square  or  the large yellow circle ?",CO," the small blue square ,  the large yellow circle , both of them, none of them", the large yellow circle ,"['Symmetry', ' Converse']",the small blue square,the small blue square,the small blue square
There are two blocks A and B. Block A has two medium yellow circle and a medium yellow triangle. The medium circle number one is to the right of the yellow triangle which is to the right of the medium circle number two. This block also has a medium black triangle touching the bottom edge of it. Block B is to the right of the block A. It has two medium yellow circle and a medium black triangle. It also has a big blue square above the medium yellow circle number one. The medium triangle is to the left of the medium circle number one and to the right of the medium circle number two. The big square is to the right of the triangle.,Where is the circle number one in block B regarding to the triangle under a medium yellow circle?,FR,"left, right, above, below, near to, far from, touching, DK",right,,Right,Right,Right
"There is a block called A. In A, there is a medium yellow triangle near and above a large yellow triangle. The large yellow triangle is near and to the left of a large black triangle. There is a block called B, which is to the right of A. In B, there is a small yellow circle far above a large black triangle. The large black triangle is near and above a medium yellow triangle. There is a small blue triangle far to the right of the large black triangle. There is a block called C, which is to the right of B. In C, there is a medium black circle near and to the left of a medium blue square. The blue square is near and to the left of a large black square.",What block has all triangles insdie of it?,FB,"A, B, C",A,['Quantifier'],A,A,A
"There is a block called A. In A, there are four circles that are touching the bottom of A. The red circle is touching and to the left of the yellow circle. The pink circle is touching and to the right of the green circle. The yellow circle is touching and to the left of the green circle. Touching the bottom of A is a block called B. In B, there is a blue rectangle touching the top and the left of B. Near and to the right of the blue rectangle is a purple rectangle that is also touching the top of B. At the bottom of B there is a white triangle. Far to the left of B there is a block called C. In C, there is a brown oval that is to the right of an  orange square.",Is the blue object to the left of the purple thing?,YN,"Yes, No, DK",Yes,['Converse'],Yes,No,Yes
"There is a block called A. It has a small yellow square, a smal black triangle and a small black circle. A medium blue square is above and to the right of the smal black triangle and circle. The small yellow square is above the medium square. The small black circle is above a big blue circle and to the right of the small black triangle. Block A is below another block called B.block B has two big yellow triangle and a big black circle that is touching the top edge of this block. One of the triangles is touching the bottom edge of block B.",Which block has all circles below a big yellow triangle?,FB,"A, B",A,,B,B,B
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small black triangle near and below a large yellow circle. Far to the right of the yellow circle is a small blue square. In B, there is a large black triangle far below a small blue circle. The small blue circle is near and below a small blue triangle. In C, there is a small blue circle.",What is the relation between the large yellow thing and the small black thing?,FR,"left, right, above, below, near to, far from, touching, DK","above, near to","['Symmetry', ' Converse']",below,below,Below
