Unnamed: 0,Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type,ollama/gemma:2b_Base,ollama/phi3:mini_Base,ollama/qwen:4b_Base,ollama/openchat_Base,ollama/mistral_Base,ollama/llama3_Base,llama70B_Base,llama70B_Visual
203,"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",Is the black thing to the left of all of the squares?,YN,"Yes, No, DK",No,['Quantifier'],"No, the black thing is not to the left of all of the squares.",No,Yes.,No,Yes,No,Yes,Yes
100,There is a block. We called it A. It has four medium squares. Two of them are yellow and two of them are blue. one of the blue square is touching the bottom edge of this block. The other bue square is on it. Then the yellow squares are on the second blue square. we have another block called B. block A is on this block. block B has two black square up on each other.,Which block has a square below all blue squares?,FB,"A, B",B,"['Lists/Sets', ' Quantifier']","The answer is A.

The block with the square below all blue squares is block A.",DK,A,B,B,Block A,B,B
125,"I see three blocks. The first block is (A) has two big and medium green triangles. The medium one is above the big one. Below and to the left of these two triangles, there is a midsize green circle. below the first block the other blocks exist, block B and C. Block C is to the right of the block B. Block B has medium white rectangle and circle to the right of a medium green triangle. The rectangle is above the circle. Block C has a huge red rectangle touching bottom and right edge, a little white circle touching the top edge and a midsize red circle touching the left edge of the block.",Is the red circle above the huge rectangle?,YN,"Yes, No, DK",Yes,,"Yes, the red circle is above the huge rectangle.",No,No,No,Yes,No,No,No
40,"There are three blocks named A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small yellow triangle that is near and to the left of a medium yellow circle. In B, there is a medium black circle Which is above a large blue triangle. The large triangle is above and near a small blue circle. There is also a large black circle far below the small blue circle. In C, there is a medium blue circle.",What object is to the left of the large blue thing? the medium blue circle  or  the yellow triangle?,CO," the medium blue circle ,  the yellow triangle, both of them, none of them", the medium blue circle ,['Lists/Sets'],"The answer is the yellow triangle.

The yellow triangle is to the left of the large blue thing, and it is near and to the left of a medium yellow circle.",Both of them,The yellow triangle.,the yellow triangle,the yellow triangle,the yellow triangle,the yellow triangle,the small blue circle
114,"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",Which block has a medium object below a big object?,FB,"A, B","A,  B",,"The answer is B.

The two medium blue squares are below a big blue square. So, block B has a medium object below a big object.",2,B,B,A,Block A,"A, B",B
267,"We have three blocks A, B, and C. Block C is below block A and B. Block A has a blue square which is touching the bottom edge of the block and a yellow square which is on top of the blue square. Block B has a yellow square touching the bottom edge of it. And block C has three squares. The first one is yellow and touching the bottom edge of the block. The second one is black and is on top of the yellow one and the third one is also black and on top of the second square.",Which block has a blue object above a yellow square?,FB,"A, B, C",A,,"The answer is C.

Block C has a blue object above a yellow square.",Block A,A,A,A,Block A,A,A
10,"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a small blue circle near and above a medium blue circle. Far to the right of the circles is a large yellow square. In B, there is a small black square that is to the right of a small black triangle. There is also a small blue square far above the small black triangle. In C, there is a large black triangle that is near and above a small blue circle. The small blue circle is also near and above a small black triangle. To the left of the small black triangle is a medium yellow circle.","What object is not to the left of the the medium yellow thing, the small black triangle or the small blue circle in A? the small black triangle  or  the small blue circle ?",CO," the small black triangle ,  the small blue circle , both of them, none of them", the small blue circle ,"['Negation', ' Lists/Sets']","The correct answer is both of them.

The small black triangle and the small blue circle are both to the left of the medium yellow thing, so they are not to the left of the object.",neither of them,"The object that is not to the left of the medium yellow thing, the small black triangle or the small blue circle in A is the small blue circle.",the small blue circle,None of them,the large yellow square,the small blue circle,the small blue circle
70,"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",Is the object in block A to the right of the yellow triangle Which is to the right of a black shape?,YN,"Yes, No, DK",No,['Transitivity'],Yes. The object in block A is to the right of the yellow triangle.,No,Yes.,No,Yes,No,No,No
36,"There is a block called A. In A, there is a small black square near and to the left of a large blue triangle. The large blue triangle is also to the left of and below a small yellow circle. In a block called B, Which is to the left of A, there a large blue square that is near and above a small blue circle. The small blue circle is near and above a medium yellow square. There is another block called C, Which is to the left of B. In C, there is a large yellow square that is near and to the left of a large yellow circle.","What object is not near the large yellow square, the large yellow circle or the large blue triangle? the large yellow circle  or  the large blue triangle ?",CO," the large yellow circle ,  the large blue triangle , both of them, none of them", the large blue triangle ,"['Negation', ' Symmetry']","The correct answer is both of them.

The large yellow circle and the large blue triangle are both not near the large yellow square.",None of them,"The object that is not near the large yellow square, the large yellow circle or the large blue triangle is ""the large blue triangle"".",none of them,the large blue triangle,the large blue square,the large blue triangle,the large blue triangle
140,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",What block does not have any blue objects inside of it?,FB,"A, B, C",A,['Negation'],"The correct answer is C.

The context describes that in C, there is a medium blue triangle. Therefore, C does not have any blue objects inside of it.",Block A,C,B,B,C,A,A
86,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",Is the small blue thing far from the large black thing?,YN,"Yes, No, DK",Yes,['Symmetry'],"No, the answer is No.

The context describes the positions of the blocks and the small blue thing in relation to the large black thing. The small blue thing is far from the large black thing, but it is not far from the large yellow square.",No,Yes.,Yes,Yes,Yes,Yes,Yes
106,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small blue circle far to the left of a medium yellow square. In B, there is a small blue circle. In C, there is a medium yellow square near and below a large blue square. The large blue square is near and below the small black triangle.The black triangle is far to the right of a small yellow triangle. There is a medium blue triangle near and to the right of the small black triangle.",What block has all of the large objects inside of it?,FB,"A, B, C",C,['Quantifier'],"The answer is B.

B is to the left of A and A is to the left of C, so B is to the left of C. In B, there is a small blue circle, and in C, there is a medium yellow square near and below a large blue square. So, B has all of the large objects inside of it.",C,C,C,C,C,C,C
60,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",What block has all of the black objects inside of it?,FB,"A, B, C",B,['Quantifier'],"The answer is B.

The small black triangle is inside of the large black square in B.",B,B,B,B,B,B,B
73,"There is a block called A. It has a small yellow square, a smal black triangle and a small black circle. A medium blue square is above and to the right of the smal black triangle and circle. The small yellow square is above the medium square. The small black circle is above a big blue circle and to the right of the small black triangle. Block A is below another block called B.block B has two big yellow triangle and a big black circle that is touching the top edge of this block. One of the triangles is touching the bottom edge of block B.",what is the relation between the big yellow triangle that is touching the bottom edge of a block and another big yellow triangle?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The answer is ""touching"".

The big yellow triangle that is touching the bottom edge of a block is touching the big yellow triangle that is touching the top edge of another block.",Below,touching,touching,Touching,right,above,same level
197,"There is a block called A. In A, there are four circles that are touching the bottom of A. The red circle is touching and to the left of the yellow circle. The pink circle is touching and to the right of the green circle. The yellow circle is touching and to the left of the green circle. Touching the bottom of A is a block called B. In B, there is a blue rectangle touching the top and the left of B. Near and to the right of the blue rectangle is a purple rectangle that is also touching the top of B. At the bottom of B there is a white triangle. Far to the left of B there is a block called C. In C, there is a brown oval that is to the right of an  orange square.",Is the red thing to the left of the pink thing?,YN,"Yes, No, DK",Yes,['Transitive'],"Yes, the red thing is to the left of the pink thing.",Yes,Yes.,Yes,Yes,Yes,Yes,Yes
33,"I see three blocks. The first block is (A) has two big and medium green triangles. The medium one is above the big one. Below and to the left of these two triangles, there is a midsize green circle. below the first block the other blocks exist, block B and C. Block C is to the right of the block B. Block B has medium white rectangle and circle to the right of a medium green triangle. The rectangle is above the circle. Block C has a huge red rectangle touching bottom and right edge, a little white circle touching the top edge and a midsize red circle touching the left edge of the block.",What is the relation between the white object above a red square and the white object above another white object?,FR,"left, right, above, below, near to, far from, touching, DK",right,,"The answer is ""above"".

The white object above the red square is above the white object above another white object.",Above,above,"above, touching",Above,above,same size,above
110,"There is a block called A. It has a small yellow square, a smal black triangle and a small black circle. A medium blue square is above and to the right of the smal black triangle and circle. The small yellow square is above the medium square. The small black circle is above a big blue circle and to the right of the small black triangle. Block A is below another block called B.block B has two big yellow triangle and a big black circle that is touching the top edge of this block. One of the triangles is touching the bottom edge of block B.",What is the relation between the big blue circle and the small square?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The answer is ""touching"".

The big blue circle is touching the top edge of the small square.",Below,above,above,Right (or Near to),above,below,below
65,"There is a block called A. In A, there are four circles that are touching the bottom of A. The red circle is touching and to the left of the yellow circle. The pink circle is touching and to the right of the green circle. The yellow circle is touching and to the left of the green circle. Touching the bottom of A is a block called B. In B, there is a blue rectangle touching the top and the left of B. Near and to the right of the blue rectangle is a purple rectangle that is also touching the top of B. At the bottom of B there is a white triangle. Far to the left of B there is a block called C. In C, there is a brown oval that is to the right of an  orange square.",Is the blue object to the left of the purple thing?,YN,"Yes, No, DK",Yes,['Converse'],"No, the answer is No.

The blue object is not to the left of the purple thing.",Yes,Yes.,Yes,Yes,Yes,Yes,Yes
148,"There exist a big red square, a big red triangle, a medium red square, and a small green circle in a block called A. The triangle and medium square are touching the bottom edge of the block. The big and medium square are touching the right edge of the block. And the circle is above the big square which is above the medium square. There is another block called B to the left of block A. A medium green square is touching the left edge of block B and is below a medium red square. The medium red square is above and to the left of a small green square. Also a medium red triangle is below and to the left of the small square.",Where is the red triangle which is to the right of a small square regarding to the red square above another red square?,FR,"left, right, above, below, near to, far from, touching, DK","left, below",,The red triangle is above the small square regarding to the red square above another red square.,Right,right,right,Right (relative to the given red square),Right,below,below
215,"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a medium blue circle Which is near and above a small blue circle. In B, there is a large yellow triangle Which is to the right and touching a large blue triangle. There is also a small yellow triangle to the left of the large blue triangle. In C, there is a small blue circle that is far above a blue triangle. The blue triangle is to the left of a black triangle.",What object is to the right of the small yellow thing? the large yellow triangle  or  the medium blue circle?,CO," the large yellow triangle ,  the medium blue circle, both of them, none of them", the large yellow triangle ,"['Transitivity', ' Converse']","The answer is the medium blue circle.

The context describes the positions of the blocks and the circles, and the medium blue circle is near and above a small blue circle, which is to the right of the large blue circle. So, the medium blue circle is to the right of the small yellow thing.",Both of them,The large yellow triangle.,the large yellow triangle,the large yellow triangle,the large yellow triangle,the large blue triangle,the large blue triangle
98,"We have three blocks A, B, and C. Block B is to the right of block A and C and also is above block C. Block A is above block C. Block A has a big blue square above a big blue triangle. Block B has a big black circle to the left of a medium black triangle which is above and to the left of a medium yellow square. Block C has a medium yellow circle touching the top edge of the block and a big black circle touvhing the bottom edge of the block. Above the big circle there is a medium blue triangle which is below and to the left of a big blue triangle.",Are all big objects above any triangles?,YN,"Yes, No, DK",No,,"The answer is Yes.

The context describes the positions of the blocks and the objects as being above or below each other. Therefore, all the big objects are above any triangles.",No,Yes.,No,Yes,Yes,Yes,Yes
252,"There are three blocks A, B and C. Block A has a medium white triangle and a small red rectangle. There exists a medium white rectangle to the left of the triangle and to the right of the red rectangle. Aove block A there is block B. It has a small white oval touching the bottom edge of the block and a medium white triangle to the right of it. Below block A there is block C. Its has a small green triangle touching the top edge of the block. A medium white triangle is below a small green rectangle. Another small green triangle is below and to the right of the white triangle.",Where is the small shape below the green rectangle regarding to the triangle touching the top edge of a block?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The answer is ""left"".

The small shape is below the green rectangle regarding to the triangle touching the top edge of a block.",Below,below,below,Below,Below,below,below
84,"There is a block called A. In A, there is a medium yellow triangle near and above a large yellow triangle. The large yellow triangle is near and to the left of a large black triangle. There is a block called B, which is to the right of A. In B, there is a small yellow circle far above a large black triangle. The large black triangle is near and above a medium yellow triangle. There is a small blue triangle far to the right of the large black triangle. There is a block called C, which is to the right of B. In C, there is a medium black circle near and to the left of a medium blue square. The blue square is near and to the left of a large black square.",Is the medium blue thing below a medium black thing?,YN,"Yes, No, DK",DK,['No Data'],"No, the answer is No.

The context does not provide any information about the relative positions of the medium blue thing and the medium black thing, so we cannot determine if they are below each other.",No,Yes.,No,Yes,Yes,No,No
28,"There are three blocks called A, B, and C. A is on top of B and B is on top of C. In A there are 3 circles: a small red one, a green one, and a big blue one. The small red and green circles are above the big blue circle. The big blue circle is touching the bottom edge of A, and the green circle is touching the top edge of A. In B there is a orange triangle, Which is above a purple rectangle. The purple rectangle is touching the bottom edge of B. In C, there are 3 squares, a small white one, a small black one, and a large yellow one. The small white square is touching the left edge of C, while the small black square is touching the right edge of C. The large yellow square is adjacent to the white square, and is touching the bottom edge of C.",Is the red circle above the white square?,YN,"Yes, No, DK",Yes,['Transitivity'],"Yes. The red circle is above the white square.
</end_of_turn>",No,Yes.,No,No,No,Yes,Yes
227,There is a block. We called it A. It has four medium squares. Two of them are yellow and two of them are blue. one of the blue square is touching the bottom edge of this block. The other bue square is on it. Then the yellow squares are on the second blue square. we have another block called B. block A is on this block. block B has two black square up on each other.,where is the medium blue square number one regarding the medium yellow square number two?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The correct answer is ""touching"".

The medium blue square number one is touching the bottom edge of the block with the medium yellow square number two.",Below,left,above,touching,below,below,below
39,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small black circle near and above a small yellow triangle. The small yellow triangle is far above the large blue circle. There is a large black square near and to the right of the large blue circle. In B, there is a small blue square near and above a small black circle. The small black circle near and above a large yellow circle. The large yellow circle is far above a large black circle. In C, there is a large blue circle near and to the left of a small blue triangle. The small blue triangle is far to the left small yellow triangle. The small yellow triangle is near and to the left of a small black square.",What is the relation between the small blue thing in C and the large blue thing in C?,FR,"left, right, above, below, near to, far from, touching, DK","right, near to","['Symmetry', ' Converse']","The answer is ""touching"".

The small blue thing in C is touching the large blue thing in C.",Near to,left,near to,Near to,left,left,near to
196,"There are three blocks called A, B, and C. A is on top of B and B is on top of C. In A there are 3 circles: a small red one, a green one, and a big blue one. The small red and green circles are above the big blue circle. The big blue circle is touching the bottom edge of A, and the green circle is touching the top edge of A. In B there is a orange triangle, Which is above a purple rectangle. The purple rectangle is touching the bottom edge of B. In C, there are 3 squares, a small white one, a small black one, and a large yellow one. The small white square is touching the left edge of C, while the small black square is touching the right edge of C. The large yellow square is adjacent to the white square, and is touching the bottom edge of C.",Which block has only circles inside?,FB,"A, B, C",A,['Quantifier'],"The answer is A.

The small red and green circles are above the big blue circle, which is touching the bottom edge of A. So, A has only circles inside.",A,A,A,A,A,A,A
249,"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",What block is to the left of B,FB,"A, B, C",A,['Converse'],"The answer is B.

The context describes the positions of blocks A, B, and C relative to each other. B is to the right of A, and the large yellow square is near and to the left of a small yellow square. Therefore, B is to the left of A.",A,A,A,B,A,A,A
66,"We have three blocks A, B, and C. Block B is to the right of block A and C and also is above block C. Block A is above block C. Block A has a big blue square above a big blue triangle. Block B has a big black circle to the left of a medium black triangle which is above and to the left of a medium yellow square. Block C has a medium yellow circle touching the top edge of the block and a big black circle touvhing the bottom edge of the block. Above the big circle there is a medium blue triangle which is below and to the left of a big blue triangle.",What is the relation between the big circle below another circle and the big blue triangle below another big blue triangle?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The answer is ""touching"".

The big circle below another circle and the big blue triangle below another big blue triangle are touching.",Below,left,"above, below","Below, touching",Below,above,above
64,"There exist a big red square, a big red triangle, a medium red square, and a small green circle in a block called A. The triangle and medium square are touching the bottom edge of the block. The big and medium square are touching the right edge of the block. And the circle is above the big square which is above the medium square. There is another block called B to the left of block A. A medium green square is touching the left edge of block B and is below a medium red square. The medium red square is above and to the left of a small green square. Also a medium red triangle is below and to the left of the small square.",What is the relation between the red square above a green object and a red triangle below a green object?,FR,"left, right, above, below, near to, far from, touching, DK",left,,"The answer is ""touching"".

The red square above the green object is touching the left edge of block B, which is touching the left edge of block A. The red triangle below the green object is touching the left edge of the small green square.",Below,left,"above, below",Above,above,above,above
183,"I see three blocks. The first block is (A) has two big and medium green triangles. The medium one is above the big one. Below and to the left of these two triangles, there is a midsize green circle. below the first block the other blocks exist, block B and C. Block C is to the right of the block B. Block B has medium white rectangle and circle to the right of a medium green triangle. The rectangle is above the circle. Block C has a huge red rectangle touching bottom and right edge, a little white circle touching the top edge and a midsize red circle touching the left edge of the block.",What is the relation between the red circle and red rectangle?,FR,"left, right, above, below, near to, far from, touching, DK","left, far from",,The red circle and red rectangle are touching. The red circle is located inside the red rectangle.,Red rectangle touching huge red circle,left,touching,Touching,touching,touching,touching
93,"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",What is the relation between the circle above the blue triangle and the black object below a blue triangle?,FR,"left, right, above, below, near to, far from, touching, DK",left,,"The answer is ""touching"".

The circle is touching the top edge of the small triangle, which is touching the bottom edge of the block.",Below,above,"above, below",Above,above,above,above
211,"There is a block called A. Inside A, there is a black triangle that is above and to the left of a black circle. There is another block called B which is to the right of A. In B, there are two yellow circles, a blue circle, and a blue square. The blue circle is touching the left edge of B. One of the yellow circles is to the right of the blue circle and to the left of the blue square. The blue square is touching the right edge of B and is above the other yellow circle, Which is also touching the right edge of B.",What relations exist between the blue object above the yellow thing and the black object above the black thing?,FR,"left, right, above, below, near to, far from, touching, DK",right,"['Lists/Sets', ' transitivity']","The blue object above the yellow thing is touching the right edge of B.

Therefore, the answer is: touching.","Above, not specified in relation (DK)",left,"above, left",Above,above,above,above
38,"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What block does not have a circle inside of it?,FB,"A, B, C",A,['Negation'],"The answer is A.

The context describes a situation where B is to the right of A and C is to the right of B. However, there is no information about block A.",B,C,B,C,A,A,A
224,"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",What is the relation between all medium blue triangles and all big black circles?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The answer is ""touching"".

The medium blue triangles and the big black circles are both touching the bottom edge of their respective blocks.",Below,left,DK,"Touching (one triangle, one circle)",below,above,above
159,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium blue square near and to the left of a medium black triangle. The medium black triangle is near and below a medium yellow square. In B, there is a small blue square far to the left of a large black circle. There is a medium yellow circle far above the black circle. In C, there is a large yellow square",Is the large black thing far to the right of the small blue thing?,YN,"Yes, No, DK",Yes,"['Symmetry', ' Converse']","Yes, the large black thing is far to the right of the small blue thing.",No,Yes.,No,Yes,Yes,Yes,Yes
170,"There are three blocks named A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small yellow triangle that is near and to the left of a medium yellow circle. In B, there is a medium black circle Which is above a large blue triangle. The large triangle is above and near a small blue circle. There is also a large black circle far below the small blue circle. In C, there is a medium blue circle.",What block does not have a triangle inside of it?,FB,"A, B, C",C,['Negation'],"The correct answer is C.

The context describes the positions of the blocks and the presence of a triangle in block A. Therefore, block C cannot have a triangle inside of it.",Block C,C,B,"C (Don't Know without knowing the exact definition of ""inside"")",C,C,C
218,"There is a block called A. In A, there a large black circle that is far below a large yellow square. There is a block called B, Which is to the right of A. In B, there is a large blue square near and to the left of a large blue triangle. The blue triangle is near and to the right of a small yellow square. There is another block called C, Which is to the right of B. In C, there is a small blue circle that is near and above a small yellow square. Far below the small square is a large blue square.",Does C have any triangles inside of it?,YN,"Yes, No, DK",No,['Quantifier'],"No, the context does not provide any information about triangles inside of block C, so the answer is No.",No,Yes.,No,No,No,No,No
263,"There is a block called A. In A, there is a medium blue square that is to the left of a small blue triangle. There is also a large blue triangle far above the small blue triangle. There is another block called B, Which is to the right of A. In B, there is a large yellow circle. There is another block called C, Which is to the right of B. In B, there is a medium yellow circle far below a small black square. There is also a large yellow square near and above the small black square . There is a medium yellow square that is far to the right of the medium yellow circle, and there is a small yellow square above the medium yellow square.",Is the object in B above the small yellow thing?,YN,"Yes, No, DK",DK,['No Data'],"No, the object in B is not above the small yellow thing.",No,Yes.,No,Yes,Yes,No,No
158,"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What block has all small objects?,FB,"A, B, C",C,['Quantifier'],"The answer is B.

B is to the right of A and C is to the right of B, so B has all small objects.",C,C,C,C,C,C,C
172,"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small yellow triangle far above a medium blue circle. The medium blue circle is near and above a small black square. There is a large black triangle near and to the right of the medium blue circle. In B, there is a small blue square far below a small black triangle. There is a large blue circle far to the left of the small blue square. In C, there is a small black circle far to the left of a medium black circle. The medium black circle is near and to the left of the medium black triangle.",What is the relation between the medium black triangle and the medium black circle?,FR,"left, right, above, below, near to, far from, touching, DK","right, near to","['Symmetry', ' Converse']","The answer is ""above"".

The medium black triangle is above the medium black circle.",Near to,left,near to,Near to,near to,near to,near to
32,"There are three blocks called A, B, and C. A is to the left of B Which is to the left of C. In A, there is a large black triangle near and above a large black square. To the right of the black triangle is a large blue triangle. In B, there is a medium yellow square near and below a small blue circle. In C, there is a small blue square far above a small yellow square. There is a small blue circle to the right of the small yellow square. There is a medium yellow circle near and to the right of the small blue circle. There is also a medium blue circle below the medium yellow circle.",What object is to the right of the medium yellow thing in B? the medium yellow circle or   the large blue triangle ?,CO," the medium yellow circle,   the large blue triangle , both of them, none of them", the medium yellow circle,"['Lists/Sets', ' Converse']","The answer is the large blue triangle.

The context describes the objects in order from left to right. The medium yellow circle is to the right of the medium yellow thing in B, which is the large blue triangle.",Both of them,the medium yellow circle,the medium yellow circle,the large blue triangle,the medium yellow circle,the small blue circle,the small blue circle
124,"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",What object is above the black thing? the yellow triangle  or  the blue triangle?,CO," the yellow triangle ,  the blue triangle, both of them, none of them", the yellow triangle ,['Converse'],"The answer is the blue triangle.

The blue triangle is above the black thing.",Both of them,The yellow triangle.,the blue triangle,the blue triangle,the yellow triangle,the yellow triangle,the yellow triangle
15,"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a small blue circle near and above a medium blue circle. Far to the right of the circles is a large yellow square. In B, there is a small black square that is to the right of a small black triangle. There is also a small blue square far above the small black triangle. In C, there is a large black triangle that is near and above a small blue circle. The small blue circle is also near and above a small black triangle. To the left of the small black triangle is a medium yellow circle.","What object is to the left of the small black square, the small black triangle or the large black triangle the small black triangle  or  the large black triangle ?",CO," the small black triangle ,  the large black triangle , both of them, none of them",both of them,"['Converse', ' Lists/Sets']","The answer is the large black triangle.

The context describes the positions of the blocks and the small black triangle, and the large black triangle is mentioned as being to the left of the small black triangle.",neither of them,The object to the left of the small black square is the small black triangle.,the small black triangle,the small black triangle,the small black triangle,the small black triangle,the small black triangle
117,We have one block called A. there is a big blue circle touching bottom edge and a small blue triangle touching the top edge and another small blue triangle touching right edge of this block. There is a big yellow square above the big circle and below small triangle number one. It is to the left of small triangle number two. This block also has a small yellow and a small black triangles. Both of them are above the big circle and below the big square.,Where is the big square regarding to the object which is below a black object?,FR,"left, right, above, below, near to, far from, touching, DK",above,['Transitivity'],"The correct answer is ""above"".

The big square is above the black object.",Below,left,above,Below,Above,above,above
151,"There are three blocks called A, B, and C. In block A, there is a small blue square far above a small blue circle. There is a small black triangle far to the right of both small blue objects. The black triange is near and above a medium blue square. The medium blue square is touching the right edge of A and is near and above a medium black circle. Near and to the right of the medium black circle is a medium yellow triangle. The yellow triangle is to the left of the small blue circle. In B, which is to the right of A, there is a large blue square near and to the left of a large yellow triangle. There is also a small yellow triangle far below the square. In C, which is to the right of B. there is a small yellow circle near and above a small yellow triangle. The small yellow triangle is touching the top of a medium black triangle. The black triangle is touching the right edge of C. There is a large blue circle far below the black triangle.",Is the medium black thing in A near and above a blue thing?,YN,"Yes, No, DK",No,"['Symmetry', ' Converse']","Yes, the medium black thing in A is near and above a blue thing.",Yes,Yes.,Yes,Yes,Yes,Yes,Yes
233,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small black circle near and above a small yellow triangle. The small yellow triangle is far above the large blue circle. There is a large black square near and to the right of the large blue circle. In B, there is a small blue square near and above a small black circle. The small black circle near and above a large yellow circle. The large yellow circle is far above a large black circle. In C, there is a large blue circle near and to the left of a small blue triangle. The small blue triangle is far to the left small yellow triangle. The small yellow triangle is near and to the left of a small black square.","What object is near and below the small black thing in B, the small blue square or the large yellow circle? the small blue square  or  the large yellow circle ?",CO," the small blue square ,  the large yellow circle , both of them, none of them", the large yellow circle ,"['Symmetry', ' Converse']","The answer is the large yellow circle.

The context describes an object near and below the small black thing in B, and the large yellow circle is that object.",neither of them,the small blue square,the small blue square,the small blue square,the small blue square,the large yellow circle,the large yellow circle
205,"There are three blocks A, B, and C. Block A has a medium yellow square to the left of a small blue triangle. Block B is to the right of block A. It has two small blue squares. The square number one is touching the right edge of this block and the square number two is above the square number one. Block C is below block A. It has a big black triangle above a small black triangle. The big black triangle is to the right of a small yellow square. A small yellow triangle is below and to the left of the small black triangle.",What is the relation between the small triangle to the left of a blue square and the medium object above the big triangle?,FR,"left, right, above, below, near to, far from, touching, DK",right,,"The small triangle is left to the blue square.

The answer is left.","Left, above",above,left,Above,above,above,above
150,"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",Which object is near to a small square? the black triangle  or  the large square?,CO," the black triangle ,  the large square, both of them, none of them", the large square,['Symmetry'],"The answer is the large square.

The question is asking which object is near to a small square. A small square is located in the small blue circle, while the large square is located to the right of A. Therefore, the large square is the object that is near to the small square.",Both of them,The black triangle.,the large square,the large square,the large square,the large square,the black triangle
